zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,dividendRate,exDividendDate,beta,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,marketCap,averageVolume,priceToSalesTrailing12Months,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,sharesOutstanding,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,lastSplitDate,lastSplitFactor,earningsQuarterlyGrowth,dateShortInterest,pegRatio,shortPercentOfFloat,sharesShortPriorMonth,regularMarketPrice
92614,Healthcare,13900,"Edwards Lifesciences Corporation provides products and technologies for structural heart disease, and critical care and surgical monitoring in the United States and internationally. It offers transcatheter heart valve replacement products for the minimally invasive replacement of heart valves; and transcatheter heart valve repair and replacement products to treat mitral and tricuspid valve diseases. The company also provides surgical heart valve therapy products, such as pericardial valves for aortic and mitral surgical valve replacement; aortic heart valves; annuloplasty rings; cardiac cannula devices; beating heart mitral valve repair system for the treatment of degenerative mitral valve diseases, as well as various procedure-enabling platforms to advance minimally invasive surgery. In addition, it offers critical care products, such as hemodynamic monitoring systems to measure a patient's heart function and fluid status in surgical and intensive care settings; pulmonary artery catheters; arterial pressure monitoring products oximetry central venous catheters, as well as monitoring platforms that display a patient's physiological information; and Acumen Hypotension Prediction Index, which alerts clinicians in advance of a patient developing low blood pressure. The company distributes its products through direct sales force and independent distributors. Edwards Lifesciences Corporation was founded in 1958 and is headquartered in Irvine, California.",Irvine,949 250 2500,CA,United States,http://www.edwards.com,1,One Edwards Way,949 250 2525,Medical Devices,217.52,223.57,223.54326,,0,228.68,1373442,217.52,195.51057,,223.57,1373442,,,0.812049,221.34,2,USD,46.33063,1930835,47765786624,1840619,10.985691,221.34,228.55,1100,1930835,247.64,34.45098,,154.52,226,FALSE,,800,228.68,NYQ,Edwards Lifesciences Corporatio,Edwards Lifesciences Corporation,America/New_York,EDT,FALSE,-14400000,EQUITY,EW,finmb_411220,us_market,10.793,0.24078,35.289,0.2812587,6.63,208570000,19.839,3048383,0.0147,1577750400,0,1046899968,4.93,-0.011489093,11.513181,0.00429,1640908800,1577750400,1.32,1582848000,207572980,46927589376,1450051200,2:01,39.029,1585612800,3.4,0.0148,2159196,223.57
45202,Consumer Defensive,97000,"The Procter & Gamble Company provides branded consumer packaged goods to consumers in North and Latin America, Europe, the Asia Pacific, Greater China, India, the Middle East, and Africa. It operates in five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments; and antiperspirants and deodorants, and personal cleansing and skin care products under the Head & Shoulders, Herbal Essences, Pantene, Rejoice, Olay, Old Spice, Safeguard, SK-II, and Secret brands. The Grooming segment provides female and male blades and razors, pre- and post-shave products, and other shave care products; and appliances that include electric shavers and epilators under the Braun, Gillette, and Venus brands. The Health Care segment offers toothbrushes, toothpaste, and other oral care products; and gastrointestinal, rapid diagnostics, respiratory, vitamins/minerals/supplements, pain relief, and other personal health care products under the Crest, Oral-B, Metamucil, Neurobion, Pepto Bismol, and Vicks brands. The Fabric & Home Care segment provides fabric enhancers, laundry additives, and laundry detergents; and air care, dish care, P&G professional, and surface care products under the Ariel, Downy, Gain, Tide, Cascade, Dawn, Fairy, Febreze, Mr. Clean, and Swiffer brands. The Baby, Feminine & Family Care segment baby wipes, taped diapers, and pants; adult incontinence and feminine care products; and paper towels, tissues, and toilet papers under the Luvs, Pampers Always, Always Discreet, Tampax Bounty, Charmin, and Puffs brands. The company sells its products through mass merchandisers, e-commerce, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, baby stores, specialty beauty stores, high-frequency stores, and pharmacies. The Procter & Gamble Company was founded in 1837 and is headquartered in Cincinnati, Ohio.",Cincinnati,513-983-1100,OH,United States,http://www.pginvestor.com,1,One Procter & Gamble Plaza,,Household & Personal Products,121.5,122.45,120.83616,0.024559671,1.6789,124.99,12256128,121.5,113.94914,2.984,122.45,12256128,3.16,1587600000,0.394891,120.54,2,USD,67.0737,14583374,3.07916E+11,11425391,4.3771605,120.54,124.8,900,14583374,128.09,23.932821,3.09,94.34,124.3,FALSE,0.025999999,800,124.99,NYQ,Procter & Gamble Company (The),The Procter & Gamble Company,America/New_York,EDT,FALSE,-14400000,EQUITY,PG,finmb_33328,us_market,4.701,0.070879996,17.466,0.1762098,5.21,2469449984,18.558,20153201,0.0082,1561852800,0.65624,4789000192,1.859,-0.011489093,6.718935,0.0011,1625011200,1585612800,1.29,1582848000,2472777816,3.30672E+11,1087776000,2:01,0.063,1585612800,3.09,0.0082,21136526,122.45
75716,Financial Services,5353,"CNP Assurances SA provides personal insurance and reinsurance products in France, Latin America, and other European countries. It offers life, accident, long term care, death and funerals, disability, unemployment, property and casualty, loss of income, and health insurance products; term creditor insurance products, including home and business loans, and consumer finance; solutions in the area of guarantees for real estate loans in private market; and pension plans and annuities, as well as support and assistance services. The company was founded in 1850 and is headquartered in Paris, France.",Paris,33 1 42 18 88 88,,France,http://www.cnp.fr,1,"4, Place Raoul Dautry",,Insurance—Life,7.785,8.19,15.477951,0.120745026,0.4483,8.24,1344010,7.785,9.555972,0.94,8.19,1344010,0.89,1587600000,1.300911,7.63,2,EUR,4.0554156,5634213,5523209728,967654,0.113709696,7.63,0,0,5634213,21.7,4.0862947,4.84,5.3,0,FALSE,0.114300005,0,8.24,PAR,CNP ASSURANCES,CNP Assurances SA,Europe/Paris,CEST,FALSE,7200000,EQUITY,CNP.PA,finmb_4493018,fr_market,-1.463,0.029059999,-24.899,-0.6227741,1.97,686113024,28.265,,,1577750400,,1362099968,1.985,-0.011489093,0.28480455,,1640908800,1577750400,,,141298062,-71060889600,1278374400,4:01,0.032,,,,,8.19
1092,Financial Services,22006,"Danske Bank A/S provides various banking products and services to small and medium-sized businesses; and corporate, institutional, and personal customers. It operates through Banking DK, Banking Nordic, Corporates and Institutions, Wealth Management, and Northern Ireland segments. The company offers daily banking, home financing, investment, and retirement planning solutions; strategic advisory services; leasing solutions; and financing, financial market, general banking, and corporate finance advisory services, as well as financial solutions and products in the areas of capital markets, fixed income and currencies, and transaction banking and investor services. It also provides wealth and asset management, pension savings, and insurance solutions covering life, health, and accident; and mobile banking services. In addition, the company provides mortgage finance and real-estate brokerage, as well as trades in fixed income products, foreign exchange, and equities. It has operations in Denmark, Finland, Sweden, Norway, the United Kingdom, Ireland, Estonia, Latvia, Lithuania, Luxembourg, Russia, Germany, Poland, the United States, India, and China. Danske Bank A/S was founded in 1871 and is headquartered in Copenhagen, Denmark.",Copenhagen,45 33 44 00 00,,Denmark,http://www.danskebank.com,1,Holmens Kanal 2-12,,Banks—Regional,69.72,71.78,97.314095,0.121916234,0.48220003,73.58,2984533,69.72,80.13389,8.5,71.78,2984533,,1584489600,0.790881,71.22,2,DKK,4.402395,5755424,62764392448,4284528,1.3531766,71.22,73.32,0,5755424,130.8,3.6852126,5.14,68.04,73.52,FALSE,,0,73.58,CPH,Danske Bank A/S,Danske Bank A/S,Europe/Copenhagen,CEST,FALSE,7200000,EQUITY,DANSKE.CO,finmb_558679,dk_market,20.829,0.32494998,,-0.42963535,19.95,853820032,183.05,,,1577750400,,14286000128,16.7,-0.011489093,0.40163887,,1640908800,1577750400,,,671601120,9.661E+11,,,0.443,,,,,71.78
53204,Industrials,23000,"Rockwell Automation, Inc. provides industrial automation and digital transformation solutions. It operates in two segments, Architecture & Software, and Control Products & Solutions. The Architecture & Software segment offers a portfolio of automation and information platforms, including hardware and software. Its products include programmable automation controllers; design, visualization, and simulation software; and human machine interface products, networking products, industrial computers, sensing devices, machine safety devices, motion control products, and independent cart technology products. This segment also offers manufacturing execution systems and analytics software to enhance operational productivity and meet regulatory requirements. The Control Products & Solutions segment offers low and medium voltage electro-mechanical and electronic motor starters, AC/DC variable frequency drives, motor control and circuit protection devices, operator and signaling devices, termination and protection devices, relays and timers, and electrical control accessories. This segment also provides pre-configured line and load power solutions, packaged drives, motor control centers, and intelligent packaged power and engineered to order automation equipment solutions; and professional lifecycle services, such as safety, security, and digital transformation consulting, as well as automation and information project delivery capabilities, plant network, cloud, cybersecurity, asset management and predictive analytics, and remote, on-site, and managed support services. It primarily serves a range of industries, which include the automotive, semiconductor, and warehousing and logistics; food and beverage, and life sciences; and oil and gas, metals, and chemicals through independent distributors and direct sales force worldwide. Rockwell Automation, Inc. was founded in 1903 and is headquartered in Milwaukee, Wisconsin.",Milwaukee,414 382 2000,WI,United States,http://www.rockwellautomation.com,1,1201 South 2nd Street,,Specialty Industrial Machinery,158.95,165.45,182.99615,0.024724757,0.50189996,170.4,928371,158.95,158.38057,3.93,165.45,928371,4.08,1589500800,1.381139,164.91,2,USD,21.509314,1061196,19587461120,1229166,2.9074457,164.91,168.05,1100,1061196,209.61,20.968904,2.14,115.38,154,FALSE,0.0257,1000,170.4,NYQ,"Rockwell Automation, Inc.","Rockwell Automation, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,ROK,finmb_300504,us_market,3.207,0.13748,14.842,-0.1096853,8.04,116184000,6.171,2847245,0.024500001,1569801600,0.77778,925299968,7.838,-0.011489093,27.319721,0.00669,1632960000,1577750400,1.59,1582848000,115321567,21602201600,545356800,2:01,2.869,1585612800,5.46,0.024600001,2101562,165.45
M5J 2J5,Financial Services,82491,"Royal Bank of Canada operates as a diversified financial service company worldwide. The company's Personal & Commercial Banking segment offers check and savings accounts, credit cards, mortgages, loans, investment products, payments, international trade, and business advice services. This segment offers financial products and services through branches, automated teller machines, and mobile sales network. Its Wealth Management provides a suite of advice-based solutions and strategies. The company's Insurance segment offers life, health, home, auto, travel, wealth, annuities, and reinsurance advice and solutions; and creditor and business insurance services to individual, business, and group clients through its field sales force, advice centers, and online, as well as through independent insurance advisors and affinity relationships. Its Investor & Treasury Services segment provides asset, cash management, transaction banking, and treasury services to institutional clients; correspondent banking and trade finance services for financial institutions; and short-term funding and liquidity management services. The company's Capital Markets segment offers corporate and investment banking, as well as equity and debt origination, distribution, sale, and trading services for corporations, institutional investors, asset managers, governments, and central banks. The company was founded in 1864 and is headquartered in Toronto, Canada.",Toronto,888-212-5533,ON,Canada,http://www.rbc.com,1,Royal Bank Canada,,Banks—Diversified,58.97,61.42,75.98123,0.048058335,0.46,62.44,1457528,58.97,62.686573,2.834,61.42,1457528,3.26,1587513600,0.863787,60.58,2,USD,9.915687,1518411,89117564928,1671506,,60.58,62.39,1000,1518411,82.74,8.981268,3.87,49.55,62.38,FALSE,0.0552,1300,62.44,NYQ,Royal Bank Of Canada,Royal Bank of Canada,America/New_York,EDT,FALSE,-14400000,EQUITY,RY,finmb_109809,us_market,,0.29011,,-0.22262406,6.94,1423970048,38.428,7080950,0.005,1572480000,0.48386002,,6.286,-0.011489093,1.6219944,9.00E-05,1635638400,1580428800,2.74,1582848000,1422565515,88677376000,1144368000,2:01,0.105,1585612800,2.72,,4738309,61.42
10055,Financial Services,16200,"BlackRock, Inc. is a publicly owned investment manager. The firm primarily provides its services to institutional, intermediary, and individual investors including corporate, public, union, and industry pension plans, insurance companies, third-party mutual funds, endowments, public institutions, governments, foundations, charities, sovereign wealth funds, corporations, official institutions, and banks. It also provides global risk management and advisory services. The firm manages separate client-focused equity, fixed income, and balanced portfolios. It also launches and manages open-end and closed-end mutual funds, offshore funds, unit trusts, and alternative investment vehicles including structured funds. The firm launches equity, fixed income, balanced, and real estate mutual funds. It also launches equity, fixed income, balanced, currency, commodity, and multi-asset exchange traded funds. The firm also launches and manages hedge funds. It invests in the public equity, fixed income, real estate, currency, commodity, and alternative markets across the globe. The firm primarily invests in growth and value stocks of small-cap, mid-cap, SMID-cap, large-cap, and multi-cap companies. It also invests in dividend-paying equity securities. The firm invests in investment grade municipal securities, government securities including securities issued or guaranteed by a government or a government agency or instrumentality, corporate bonds, and asset-backed and mortgage-backed securities. It employs fundamental and quantitative analysis with a focus on bottom-up and top-down approach to make its investments. The firm employs liquidity, asset allocation, balanced, real estate, and alternative strategies to make its investments. In real estate sector, it seeks to invest in Poland and Germany. The firm benchmarks the performance of its portfolios against various S&P, Russell, Barclays, MSCI, Citigroup, and Merrill Lynch indices. BlackRock, Inc. was founded in 1988 and is based in New York City with additional offices in Boston, Massachusetts; London, United Kingdom; Gurgaon, India; Hong Kong; Greenwich, Connecticut; Princeton, New Jersey; Edinburgh, United Kingdom; Sydney, Australia; Taipei, Taiwan; Singapore; Sao Paulo, Brazil; Philadelphia, Pennsylvania; Washington, District of Columbia; Toronto, Canada; Wilmington, Delaware; and San Francisco, California.",New York,212-810-5300,NY,United States,http://www.blackrock.com,1,55 East 52nd Street,,Asset Management,458.99,476.32,480.2216,0.029477766,0.4643,484.69,787514,458.99,430.57858,13.53,476.32,787514,14.52,1583280000,1.32089,469.35,2,USD,17.673634,956887,74024050688,1004832,4.967057,469.35,479,1000,956887,576.81,16.63887,2.48,323.98,470,FALSE,0.031600002,1000,484.69,NYQ,"BlackRock, Inc.","BlackRock, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,BLK,finmb_403413,us_market,4.917,0.28377,13.345,0.027692795,28.66,154263008,216.155,1452277,0.0093,1577750400,0.85204005,4228999936,26.982,-0.011489093,2.2061484,0.034089997,1640908800,1585612800,0.99,1582848000,118073028,73282895872,1181001600,1:01,-0.235,1585612800,9.7,0.012300001,1334796,476.32
E14 5HP,Financial Services,80800,"Barclays PLC, through its subsidiaries, provides various financial products and services in the United Kingdom, other European countries, the Americas, Africa, the Middle East, and Asia. The company operates through Barclays UK and Barclays International divisions. It offers financial services, such as retail banking, credit cards, wholesale banking, investment banking, wealth management, and investment management services. The company also engages in securities dealing activities; and issues credit cards. The company was formerly known as Barclays Bank Limited and changed its name to Barclays PLC in January 1985. Barclays PLC was founded in 1690 and is headquartered in London, the United Kingdom.",London,44 20 7116 1000,,United Kingdom,http://www.home.barclays,1,1 Churchill Place,,Banks—Diversified,4.3,4.52,7.8568115,0.01372093,0.48740003,4.57,5754171,4.3,5.0571427,0.059,4.52,5754171,,1582761600,1.181762,4.4314,4,USD,40.625,5510852,19994886144,6620745,,4.4314,4.58,29200,5510852,10.22,4.099099,2.95,3.41,4.46,FALSE,,42300,4.57,NYQ,Barclays PLC,Barclays PLC,America/New_York,EDT,FALSE,-14400000,EQUITY,BCS,finmb_323899,us_market,,0.16594,,-0.47701144,1.11,4333040128,19.564,5024114,0.0012,1577750400,0.022349998,,0.112,-0.011489093,0.23257005,0,1640908800,1577750400,0.53,1582848000,3949241896,19688873984,1392768000,74:73,3.009,1585612800,,,7982950,4.52
92117,Consumer Defensive,87974,"L'Oréal S.A., through its subsidiaries, manufactures and sells cosmetic products for women and men worldwide. The company operates through four divisions: Consumer Products, L'oréal Luxe, Professional Products, and Active Cosmetics. It offers shampoos, hair care products, shower gels, skin care products, cleansers, hair colors, styling products, deodorants, sun care products, make-up, perfumes, etc. The company provides its products under the L'Oréal Paris, Garnier, Maybelline New York, NYX Professional Makeup Professional Makeup, Essie, Niely, Dark and Lovely, Lancôme, Yves Saint Laurent Beauté, Giorgio Armani Beauty, Kiehl's, Urban Decay, Biotherm, Ralph Lauren, IT Cosmetics, L'Oréal Professionnel, Kérastase, Redken, Matrix, Biolage, Pureology, Decléor, Carita, Vichy, La Roche-Posay, SkinCeuticals, and Roger&Gallet brands. It sells its products through distribution channels, such as hair salons, mass-market retail channels, perfumeries, department stores, pharmacies, drugstores, medispas, branded retail, travel retail, and e-commerce. The company was founded in 1909 and is headquartered in Clichy, France.",Clichy,33 1 47 56 70 00,,France,http://www.loreal.com,1,"41, rue Martre",33 1 47 56 86 42,Household & Personal Products,244.5,256.2,253.45277,0.017382413,0.5781,256.8,475082,244.5,238.625,4.25,256.2,475082,3.85,1588032000,0.4231,244.5,2,EUR,37.177177,876933,1.38258E+11,844922,4.6281037,244.5,0,0,876933,278.5,32.536137,1.71,196,0,FALSE,0.015700001,0,256.8,PAR,L'OREAL,L'Oreal S.A.,Europe/Paris,CEST,FALSE,7200000,EQUITY,OR.PA,finmb_874249,fr_market,4.545,0.12553,20.517,0.018092155,7.61,558393024,52.712,,,1577750400,,3750000128,6.66,-0.011489093,4.6972227,,1640908800,1577750400,,,233359966,1.35774E+11,1495152000,2:01,-0.122,,,,,256.2
75380,Communication Services,43900,"Vivendi SA operates as a content media and communication company in France, rest of Europe, the Americas, Asia/Oceania, and Africa. It operates through Universal Music Group, Canal+ Group, Havas Group, Editis, Gameloft, Vivendi Village, and New Initiatives segments. The Universal Music Group segment engages in the sale of digital and physical recorded music; and exploitation of music publishing rights, as well as provision of artist and merchandising services. The Canal+ Group segment publishes and distributes premium and thematic pay-TV and free-to-air channels; and produces, sells, and distributes movies and TV series. The Havas Group segment includes communications disciplines, such as creativity, media expertise, and healthcare/wellness. The Editis segment engages in the publishing of literature, educational, and reference books, as well as selling and distribution of books. The Gameloft segment engages in the creation and publishing of downloadable video games for mobile phones, tablets, triple-play boxes, and smart TVs. The Vivendi Village segment provides ticketing services and live performances through Olympia production, festival production, and venues. The New Initiatives segment operates Dailymotion, a video content aggregation and distribution platform, as well as develops ultra-high-speed Internet service. The company was formerly known as Vivendi Universal S.A. and changed its name to Vivendi SA in April 2006. Vivendi SA was founded in 1853 and is headquartered in Paris, France.",Paris,33 1 71 71 10 00,,France,http://www.vivendi.com,1,42 avenue de Friedland,33 1 71 71 10 01,Broadcasting,21.12,22.29,26.335796,0.024810605,0.39400002,22.41,227785,21.12,22.300285,0.524,22.29,227785,0.65,1587427200,0.716717,22.07,2,USD,20.347895,167522,25793304576,224454,,22.07,0,0,167522,29.42,36.426064,5.57,18.85,0,FALSE,0.0307,0,22.41,PNK,VIVENDI SA,Vivendi SA,America/New_York,EDT,FALSE,-14400000,EQUITY,VIVHY,finmb_120343,us_market,,0.09957,,-0.235901,0.61,1148400000,15.788,,,1577750400,0.00229,,1.092,-0.011489093,1.4073917,0,1640908800,1577750400,,,812905809,26010058752,1337126400,31:30:00,,,,,,22.29
